season,season_week,week,week_start_date,year,cases,prec,tavg,mu
1997/1998,10,27,7/2/1997,1997,7,29.4,300.6,0.804932735
1997/1998,11,28,7/9/1997,1997,9,32.1,300.1285714,0.735387046
1997/1998,12,29,7/16/1997,1997,3,72.64,299.9285714,0.778904665
1997/1998,13,30,7/23/1997,1997,3,31.1,300.4357143,0.77877095
1997/1998,14,31,7/30/1997,1997,14,32.8,300.2785714,0.803571429
1997/1998,15,32,8/6/1997,1997,12,44.99,299.8785714,0.793209877
1997/1998,16,33,8/13/1997,1997,10,38,299.9571429,0.834782609
1997/1998,17,34,8/20/1997,1997,21,39.9,300.2714286,0.935168739
1997/1998,18,35,8/27/1997,1997,26,42.9,300.0571429,0.988801054
1997/1998,19,36,9/3/1997,1997,47,35.5,300.9357143,1.334834835
1997/1998,20,37,9/10/1997,1997,42,47.89,300.65,1.098783107
1997/1998,21,38,9/17/1997,1997,31,39.8,300.4571429,0.984167518
1997/1998,22,39,9/24/1997,1997,34,31.3,300.25,1.014761259
1997/1998,23,40,10/1/1997,1997,33,25.6,300.7857143,1.006454944
1997/1998,24,41,10/8/1997,1997,52,187.3,299.2785714,1.083504684
1997/1998,25,42,10/15/1997,1997,56,18.84,299.9428571,1.082015897
1997/1998,26,43,10/22/1997,1997,70,7.47,300.6142857,1.115944018
1997/1998,27,44,10/29/1997,1997,112,10.2,300.0142857,1.24159751
1997/1998,28,45,11/5/1997,1997,70,10.4,299.9071429,0.999305556
1997/1998,29,46,11/12/1997,1997,47,47.1,299.2857143,0.952247807
1997/1998,30,47,11/19/1997,1997,48,36.6,299.7785714,0.952938716
1997/1998,31,48,11/26/1997,1997,49,12.2,299.6214286,0.942371351
1997/1998,32,49,12/3/1997,1997,66,0.2,300.2571429,0.969302186
1997/1998,33,50,12/10/1997,1997,56,4.1,299.7357143,0.96652602
1997/1998,34,51,12/17/1997,1997,61,18.1,299.1071429,0.972320732
1997/1998,35,52,12/24/1997,1997,67,1.64,299.9357143,0.982257384
1997/1998,36,1,1/1/1998,1998,64,73.6,298.3357143,0.967145669
1997/1998,37,2,1/8/1998,1998,68,30.2,297.9785714,0.9689416
1997/1998,38,3,1/15/1998,1998,49,2,298.9285714,0.931128912
1997/1998,39,4,1/22/1998,1998,50,16.4,298.8428571,0.871280358
1997/1998,40,5,1/29/1998,1998,56,11.7,298.9714286,0.961494518
1997/1998,41,6,2/5/1998,1998,75,14.8,298.6857143,1.027683946
1997/1998,42,7,2/12/1998,1998,63,3,298.3571429,1.00334198
1997/1998,43,8,2/19/1998,1998,62,3,298.8714286,1.000719845
1997/1998,44,9,2/26/1998,1998,41,9.3,298.0071429,0.954180012
1997/1998,45,10,3/5/1998,1998,50,41.48,298.0428571,0.975151543
1997/1998,46,11,3/12/1998,1998,34,3.2,298.65,0.949419997
1997/1998,47,12,3/19/1998,1998,31,19.2,298.7428571,0.934484396
1997/1998,48,13,3/26/1998,1998,38,48.1,297.8428571,0.939604856
1997/1998,49,14,4/2/1998,1998,30,16,298.5142857,0.918323927
1997/1998,50,15,4/9/1998,1998,32,19.8,298.0928571,0.95311618
1997/1998,51,16,4/16/1998,1998,26,25,298.5071429,0.942484342
1997/1998,52,17,4/23/1998,1998,30,13.6,299.8357143,0.9313048
1998/1999,1,18,4/30/1998,1998,36,16.1,299.2428571,0.889262561
1998/1999,2,19,5/7/1998,1998,35,11.5,299.7785714,0.908161761
1998/1999,3,20,5/14/1998,1998,46,58,300.0285714,0.919293463
1998/1999,4,21,5/21/1998,1998,48,69.7,299.7571429,0.998299641
1998/1999,5,22,5/28/1998,1998,44,21.9,300.0857143,0.964367955
1998/1999,6,23,6/4/1998,1998,51,24,300.6285714,1.032626427
1998/1999,7,24,6/11/1998,1998,59,29.9,300.4285714,1.059253293
1998/1999,8,25,6/18/1998,1998,71,53.44,300.2428571,1.07642064
1998/1999,9,26,6/25/1998,1998,102,29.8,300.9,1.171319149
1998/1999,10,27,7/2/1998,1998,128,66.11,300,1.200521149
1998/1999,11,28,7/9/1998,1998,127,14.92,300.5285714,1.138160615
1998/1999,12,29,7/16/1998,1998,150,121.72,300,1.148847486
1998/1999,13,30,7/23/1998,1998,191,89.47,300.0357143,1.181099781
1998/1999,14,31,7/30/1998,1998,256,16.9,301.1357143,1.231505282
1998/1999,15,32,8/6/1998,1998,329,70.3,300.3285714,1.249971608
1998/1999,16,33,8/13/1998,1998,263,66,300.3071429,1.083896261
1998/1999,17,34,8/20/1998,1998,220,89.1,300.6714286,1.037160907
1998/1999,18,35,8/27/1998,1998,204,61.2,300.6642857,1.023424266
1998/1999,19,36,9/3/1998,1998,181,68.48,300.2285714,1.009860572
1998/1999,20,37,9/10/1998,1998,99,36.95,300.5071429,0.976350965
1998/1999,21,38,9/17/1998,1998,54,151.2,300.2785714,0.962645207
1998/1999,22,39,9/24/1998,1998,80,14.9,300.8357143,0.959394298
1998/1999,23,40,10/1/1998,1998,102,32.6,300.7,0.962617676
1998/1999,24,41,10/8/1998,1998,127,22.6,300.7285714,0.961329737
1998/1999,25,42,10/15/1998,1998,73,54.4,300.0571429,0.931734449
1998/1999,26,43,10/22/1998,1998,68,87.8,300.0142857,0.895961622
1998/1999,27,44,10/29/1998,1998,64,68.1,299.7357143,0.82486017
1998/1999,28,45,11/5/1998,1998,55,87.6,299.6071429,0.836376642
1998/1999,29,46,11/12/1998,1998,67,90.5,299.2428571,0.842556105
1998/1999,30,47,11/19/1998,1998,84,80.47,298.6857143,0.826633237
1998/1999,31,48,11/26/1998,1998,85,156.7,298.1714286,0.815276091
1998/1999,32,49,12/3/1998,1998,67,95.42,298.5357143,0.920742631
1998/1999,33,50,12/10/1998,1998,73,6.3,299.3071429,0.978971411
1998/1999,34,51,12/17/1998,1998,89,34.3,298.8714286,0.976614288
1998/1999,35,52,12/24/1998,1998,68,32.22,298.5,0.931761446
1998/1999,36,1,1/1/1999,1999,59,12.9,298.6785714,0.883918963
1998/1999,37,2,1/8/1999,1999,56,16.9,298.2428571,0.968421735
1998/1999,38,3,1/15/1999,1999,77,24.52,297.8857143,0.993159089
1998/1999,39,4,1/22/1999,1999,75,38.05,297.3714286,0.995246711
1998/1999,40,5,1/29/1999,1999,47,9.8,296.3,0.970912416
1998/1999,41,6,2/5/1999,1999,50,3.1,297.4214286,0.962089314
1998/1999,42,7,2/12/1999,1999,42,20.14,296.3142857,0.934967408
1998/1999,43,8,2/19/1999,1999,28,10.28,297.1285714,0.91623027
1998/1999,44,9,2/26/1999,1999,37,2.32,297.95,0.942227616
1998/1999,45,10,3/5/1999,1999,37,5.9,297.7785714,0.929193436
1998/1999,46,11,3/12/1999,1999,27,0.5,298.1857143,0.884527523
1998/1999,47,12,3/19/1999,1999,12,10.4,298.1785714,0.903427907
1998/1999,48,13,3/26/1999,1999,15,8.1,298.8142857,0.910844037
1998/1999,49,14,4/2/1999,1999,22,16.3,297.3714286,0.910522437
1998/1999,50,15,4/9/1999,1999,8,5.66,298.5857143,0.836107388
1998/1999,51,16,4/16/1999,1999,15,5.25,299.4785714,0.79259817
1998/1999,52,17,4/23/1999,1999,17,10,299.0214286,0.877717849
1999/2000,1,18,4/30/1999,1999,10,10.08,299.7357143,0.827971044
1999/2000,2,19,5/7/1999,1999,9,29.6,298.9142857,0.824940366
1999/2000,3,20,5/14/1999,1999,11,7.4,300.5642857,0.87804878
1999/2000,4,21,5/21/1999,1999,20,14.44,300.3214286,0.833076923
1999/2000,5,22,5/28/1999,1999,13,12.9,300.3714286,0.76175845
1999/2000,6,23,6/4/1999,1999,11,31.62,300.0285714,0.780930386
1999/2000,7,24,6/11/1999,1999,16,45.9,299.9285714,0.915806851
1999/2000,8,25,6/18/1999,1999,11,63.39,299.7428571,0.873767258
1999/2000,9,26,6/25/1999,1999,7,29.54,299.9428571,0.807075278
1999/2000,10,27,7/2/1999,1999,17,60.1,299.8571429,0.954408818
1999/2000,11,28,7/9/1999,1999,14,75,299.5857143,0.910850968
1999/2000,12,29,7/16/1999,1999,13,49.52,299.8571429,0.88959854
1999/2000,13,30,7/23/1999,1999,15,18.55,300.5142857,0.953185328
1999/2000,14,31,7/30/1999,1999,30,53.04,300.1214286,1.062812927
1999/2000,15,32,8/6/1999,1999,25,43.4,300.25,0.99005305
1999/2000,16,33,8/13/1999,1999,40,47.7,300.3357143,1.069886364
1999/2000,17,34,8/20/1999,1999,44,58.1,300.3357143,1.115677966
1999/2000,18,35,8/27/1999,1999,25,38.64,300.3071429,0.959303222
1999/2000,19,36,9/3/1999,1999,21,30.07,301.0428571,0.940065799
1999/2000,20,37,9/10/1999,1999,48,34.56,300.8714286,1.031772575
1999/2000,21,38,9/17/1999,1999,56,22.7,300.9214286,1.070092959
1999/2000,22,39,9/24/1999,1999,60,66.66,300.3,1.065081151
1999/2000,23,40,10/1/1999,1999,45,32.13,300.1928571,0.99752491
1999/2000,24,41,10/8/1999,1999,55,47.81,299.8642857,1.024166951
1999/2000,25,42,10/15/1999,1999,32,114.7,299.9571429,0.957636239
1999/2000,26,43,10/22/1999,1999,46,46.3,300.35,0.969728356
1999/2000,27,44,10/29/1999,1999,61,30.19,299.5,1.00877232
1999/2000,28,45,11/5/1999,1999,42,80.13,299.2,0.947677376
1999/2000,29,46,11/12/1999,1999,37,172.78,299.1857143,0.933623673
1999/2000,30,47,11/19/1999,1999,43,39.5,298.7571429,0.974194831
1999/2000,31,48,11/26/1999,1999,34,77.73,298.4571429,0.964510503
1999/2000,32,49,12/3/1999,1999,40,40.59,297.2642857,0.952046956
1999/2000,33,50,12/10/1999,1999,25,3.5,297.25,0.913473565
1999/2000,34,51,12/17/1999,1999,16,26.23,297.85,0.885565888
1999/2000,35,52,12/24/1999,1999,17,25.14,297.7857143,0.911544082
1999/2000,36,1,1/1/2000,2000,17,58.9,297.6,0.879429605
1999/2000,37,2,1/8/2000,2000,16,6.2,297.7857143,0.936604808
1999/2000,38,3,1/15/2000,2000,23,12.2,295.1642857,0.911445389
1999/2000,39,4,1/22/2000,2000,18,2.22,298.0285714,0.842443261
1999/2000,40,5,1/29/2000,2000,18,2.1,297.5428571,0.902969144
1999/2000,41,6,2/5/2000,2000,9,2.1,298.0642857,0.892623506
1999/2000,42,7,2/12/2000,2000,7,5.2,297.6785714,0.84270256
1999/2000,43,8,2/19/2000,2000,7,22.52,296.9214286,0.860678435
1999/2000,44,9,2/26/2000,2000,4,3.7,296.0571429,0.779490473
1999/2000,45,10,3/4/2000,2000,3,3,296.4142857,0.859410431
1999/2000,46,11,3/11/2000,2000,2,5.09,297.1357143,0.914204775
1999/2000,47,12,3/18/2000,2000,8,6.7,296.4571429,0.902658855
1999/2000,48,13,3/25/2000,2000,3,17.04,297.5,0.871614845
1999/2000,49,14,4/1/2000,2000,1,4.3,297.6857143,0.85705951
1999/2000,50,15,4/8/2000,2000,1,13.7,297.9785714,0.755311857
1999/2000,51,16,4/15/2000,2000,2,5.6,298.2285714,0.741138561
1999/2000,52,17,4/22/2000,2000,3,3.8,298.8785714,0.608837971
2000/2001,1,18,4/29/2000,2000,3,11.45,298.5285714,0.739864865
2000/2001,2,19,5/6/2000,2000,2,17.46,298.5428571,0.723214286
2000/2001,3,20,5/13/2000,2000,0,12.9,299.2785714,0.631284916
2000/2001,4,21,5/20/2000,2000,0,4.4,299.4785714,0.653846154
2000/2001,5,22,5/27/2000,2000,2,22.75,299.2071429,0.640350877
2000/2001,6,23,6/3/2000,2000,2,3.2,300.1785714,0.651376147
2000/2001,7,24,6/10/2000,2000,0,40.53,299.2071429,0.504587156
2000/2001,8,25,6/17/2000,2000,6,17.01,299.9571429,0.688888889
2000/2001,9,26,6/24/2000,2000,3,14.52,299.9714286,0.638888889
2000/2001,10,27,7/1/2000,2000,6,21.1,299.9571429,0.7875
2000/2001,11,28,7/8/2000,2000,2,12.6,300.4428571,0.634782609
2000/2001,12,29,7/15/2000,2000,3,32.38,300.0642857,0.634782609
2000/2001,13,30,7/22/2000,2000,2,12.2,300.4142857,0.608695652
2000/2001,14,31,7/29/2000,2000,4,71.6,299.7357143,0.654545455
2000/2001,15,32,8/5/2000,2000,5,33.16,300.3142857,0.754098361
2000/2001,16,33,8/12/2000,2000,2,28.68,300.7214286,0.693877551
2000/2001,17,34,8/19/2000,2000,9,80.08,300.25,0.794701987
2000/2001,18,35,8/26/2000,2000,2,30.2,300.4214286,0.587719298
2000/2001,19,36,9/2/2000,2000,4,21.7,300.5642857,0.622807018
2000/2001,20,37,9/9/2000,2000,8,9.49,301.4571429,0.713114754
2000/2001,21,38,9/16/2000,2000,6,80.7,299.7571429,0.75
2000/2001,22,39,9/23/2000,2000,3,34.8,300.2928571,0.682274247
2000/2001,23,40,9/30/2000,2000,11,21.7,300.2857143,0.827205882
2000/2001,24,41,10/7/2000,2000,14,14.1,300.2857143,0.958868895
2000/2001,25,42,10/14/2000,2000,15,11.42,300.2857143,1.001736111
2000/2001,26,43,10/21/2000,2000,20,23.3,300.0714286,1.09033877
2000/2001,27,44,10/28/2000,2000,9,36.4,299.6285714,0.871295512
2000/2001,28,45,11/4/2000,2000,20,2.1,299.1857143,0.969280517
2000/2001,29,46,11/11/2000,2000,28,2.5,299.3714286,1.066135946
2000/2001,30,47,11/18/2000,2000,38,20.58,299.65,1.193065068
2000/2001,31,48,11/25/2000,2000,30,15.7,299.65,1.037870763
2000/2001,32,49,12/2/2000,2000,30,1.09,299.8214286,1.027253219
2000/2001,33,50,12/9/2000,2000,23,13.49,299.1428571,0.987809316
2000/2001,34,51,12/16/2000,2000,16,38.64,297.9571429,0.964935715
2000/2001,35,52,12/23/2000,2000,22,1.3,298.4785714,0.97787043
2000/2001,36,1,1/1/2001,2001,28,1,298.7142857,0.994090014
2000/2001,37,2,1/8/2001,2001,14,1.1,298.1928571,0.938082649
2000/2001,38,3,1/15/2001,2001,17,9.04,298.0571429,0.93322157
2000/2001,39,4,1/22/2001,2001,20,16,298.4714286,0.970625798
2000/2001,40,5,1/29/2001,2001,17,25.16,297.7857143,0.950312245
2000/2001,41,6,2/5/2001,2001,10,21.18,298.1142857,0.911095796
2000/2001,42,7,2/12/2001,2001,13,7.72,298.0214286,0.863795465
2000/2001,43,8,2/19/2001,2001,20,25.09,297.4857143,0.905589124
2000/2001,44,9,2/26/2001,2001,9,1.3,297.0357143,0.849874896
2000/2001,45,10,3/5/2001,2001,18,10.5,298.8714286,0.892129746
2000/2001,46,11,3/12/2001,2001,9,1.69,298.6214286,0.886002121
2000/2001,47,12,3/19/2001,2001,8,20.65,297.8714286,0.851264943
2000/2001,48,13,3/26/2001,2001,19,4.25,299.0142857,0.817752597
2000/2001,49,14,4/2/2001,2001,11,20.7,298.4642857,0.876906318
2000/2001,50,15,4/9/2001,2001,4,6.49,298.2928571,0.829040687
2000/2001,51,16,4/16/2001,2001,6,15.66,298.8928571,0.791770574
2000/2001,52,17,4/23/2001,2001,6,12.63,298.2571429,0.78403526
2001/2002,1,18,4/30/2001,2001,8,9.1,299.4285714,0.826718837
2001/2002,2,19,5/7/2001,2001,13,88.8,299.1571429,0.828864803
2001/2002,3,20,5/14/2001,2001,8,1.8,299.9357143,0.739874501
2001/2002,4,21,5/21/2001,2001,8,5.2,299.8714286,0.833450953
2001/2002,5,22,5/28/2001,2001,5,8.25,299.9214286,0.756428571
2001/2002,6,23,6/4/2001,2001,16,7.8,300.2785714,0.887375114
2001/2002,7,24,6/11/2001,2001,12,4.2,299.8785714,0.859717868
2001/2002,8,25,6/18/2001,2001,11,7.62,300.5428571,0.794247788
2001/2002,9,26,6/25/2001,2001,18,29.37,300.1928571,0.955197133
2001/2002,10,27,7/2/2001,2001,10,20.8,300.7357143,0.911296437
2001/2002,11,28,7/9/2001,2001,22,18.1,300.1642857,0.996436208
2001/2002,12,29,7/16/2001,2001,14,16.31,300.7071429,0.902215019
2001/2002,13,30,7/23/2001,2001,16,48.87,300.4,0.917951268
2001/2002,14,31,7/30/2001,2001,18,28.4,300.7571429,0.921470722
2001/2002,15,32,8/6/2001,2001,27,58.98,300.7428571,1.022900763
2001/2002,16,33,8/13/2001,2001,38,64.6,300.7785714,1.116109825
2001/2002,17,34,8/20/2001,2001,35,42.5,300.7428571,1.059277765
2001/2002,18,35,8/27/2001,2001,41,19.6,300.8714286,1.07424594
2001/2002,19,36,9/3/2001,2001,51,15.5,300.8285714,1.126636312
2001/2002,20,37,9/10/2001,2001,65,14.2,301.0214286,1.170374275
2001/2002,21,38,9/17/2001,2001,55,19.89,300.8,1.065420561
2001/2002,22,39,9/24/2001,2001,54,17.6,301.1571429,1.060036832
2001/2002,23,40,10/1/2001,2001,62,37.2,300.9857143,1.067518057
2001/2002,24,41,10/8/2001,2001,64,23.1,300.5428571,1.070773613
2001/2002,25,42,10/15/2001,2001,56,60.48,300.0928571,1.039824016
2001/2002,26,43,10/22/2001,2001,65,20.91,300.4071429,1.052041305
2001/2002,27,44,10/29/2001,2001,71,19.86,300.2,1.052795125
2001/2002,28,45,11/5/2001,2001,75,135.23,299.3928571,1.046370699
2001/2002,29,46,11/12/2001,2001,71,15.9,299.8214286,1.037247839
2001/2002,30,47,11/19/2001,2001,72,9.41,299.1928571,1.031063006
2001/2002,31,48,11/26/2001,2001,47,11.8,298.1071429,0.983700647
2001/2002,32,49,12/3/2001,2001,27,33.34,299.0571429,0.949513044
2001/2002,33,50,12/10/2001,2001,35,84.34,298.4714286,0.964811076
2001/2002,34,51,12/17/2001,2001,25,53.11,298.5785714,0.956529777
2001/2002,35,52,12/24/2001,2001,19,2.19,298.1785714,0.939897511
2001/2002,36,1,1/1/2002,2002,37,13.8,298.5071429,0.940128544
2001/2002,37,2,1/8/2002,2002,38,1.21,298.5571429,0.951222318
2001/2002,38,3,1/15/2002,2002,34,12.44,298.5142857,0.928895338
2001/2002,39,4,1/22/2002,2002,26,10.8,298.35,0.899563464
2001/2002,40,5,1/29/2002,2002,19,24,297.8142857,0.864295742
2001/2002,41,6,2/5/2002,2002,18,3.6,298.0642857,0.843032385
2001/2002,42,7,2/12/2002,2002,22,3.9,298.2428571,0.795824555
2001/2002,43,8,2/19/2002,2002,16,12.8,297.2357143,0.860439661
2001/2002,44,9,2/26/2002,2002,18,7.8,297.1142857,0.938068812
2001/2002,45,10,3/5/2002,2002,6,11.8,297.7285714,0.88495061
2001/2002,46,11,3/12/2002,2002,12,0.6,298.0785714,0.918554477
2001/2002,47,12,3/19/2002,2002,6,2.2,298.4785714,0.924152848
2001/2002,48,13,3/26/2002,2002,6,17.8,298.3285714,0.868683812
2001/2002,49,14,4/2/2002,2002,3,55.1,298.4428571,0.825090013
2001/2002,50,15,4/9/2002,2002,7,22.4,297.0285714,0.802446642
2001/2002,51,16,4/16/2002,2002,6,31,298.0714286,0.819378428
2001/2002,52,17,4/23/2002,2002,1,18,298.4785714,0.836754177
2002/2003,1,18,4/30/2002,2002,3,11,299.0928571,0.814985591
2002/2003,2,19,5/7/2002,2002,2,9.3,299.1142857,0.721126761
2002/2003,3,20,5/14/2002,2002,2,5.5,299.85,0.719148936
2002/2003,4,21,5/21/2002,2002,1,8.2,299.9,0.566860465
2002/2003,5,22,5/28/2002,2002,10,15.65,299.6642857,0.8
2002/2003,6,23,6/4/2002,2002,3,17.55,299.9642857,0.582750583
2002/2003,7,24,6/11/2002,2002,3,15.73,300.2071429,0.636054422
2002/2003,8,25,6/18/2002,2002,1,24.1,299.95,0.576779026
2002/2003,9,26,6/25/2002,2002,1,10.8,300.55,0.590517241
2002/2003,10,27,7/2/2002,2002,2,11.65,300.1285714,0.526785714
2002/2003,11,28,7/9/2002,2002,6,10.3,300.5857143,0.491620112
2002/2003,12,29,7/16/2002,2002,3,7.09,300.6785714,0.558659218
2002/2003,13,30,7/23/2002,2002,3,47.12,300.5285714,0.56684492
2002/2003,14,31,7/30/2002,2002,5,9.36,301.2,0.614973262
2002/2003,15,32,8/6/2002,2002,4,23.78,300.9857143,0.629807692
2002/2003,16,33,8/13/2002,2002,7,39.62,300.8357143,0.713636364
2002/2003,17,34,8/20/2002,2002,6,15,301.2571429,0.705223881
2002/2003,18,35,8/27/2002,2002,5,46.4,300.7928571,0.926470588
2002/2003,19,36,9/3/2002,2002,7,10.9,301.4071429,0.977272727
2002/2003,20,37,9/10/2002,2002,6,27.5,301.2285714,0.976923077
2002/2003,21,38,9/17/2002,2002,4,13.4,301.1071429,0.938983051
2002/2003,22,39,9/24/2002,2002,4,20,301.1571429,0.938709677
2002/2003,23,40,10/1/2002,2002,7,25.5,300.7071429,0.953416149
2002/2003,24,41,10/8/2002,2002,9,23.5,300.6,1.050746269
2002/2003,25,42,10/15/2002,2002,5,27,300.5285714,0.953316953
2002/2003,26,43,10/22/2002,2002,5,34.7,300.55,0.940898345
2002/2003,27,44,10/29/2002,2002,10,9.5,300.65,1.011820331
2002/2003,28,45,11/5/2002,2002,6,7.6,300.7571429,0.90729783
2002/2003,29,46,11/12/2002,2002,13,32.3,299.8857143,1.004048583
2002/2003,30,47,11/19/2002,2002,6,22.77,300.1285714,0.867623604
2002/2003,31,48,11/26/2002,2002,5,5.9,300.3142857,0.844827586
2002/2003,32,49,12/3/2002,2002,5,7.45,299.9285714,0.850162866
2002/2003,33,50,12/10/2002,2002,9,8.3,299.6,0.900497512
2002/2003,34,51,12/17/2002,2002,3,19.7,298.8071429,0.829341317
2002/2003,35,52,12/24/2002,2002,6,2.5,299.1,0.822995461
2002/2003,36,1,1/1/2003,2003,11,29.1,298.8142857,0.844135802
2002/2003,37,2,1/8/2003,2003,7,2.7,299.1357143,0.841569767
2002/2003,38,3,1/15/2003,2003,7,7,299.2214286,0.846910112
2002/2003,39,4,1/22/2003,2003,15,28.7,298.3571429,0.894021739
2002/2003,40,5,1/29/2003,2003,9,38.3,298.0857143,0.851335656
2002/2003,41,6,2/5/2003,2003,6,15,298.7071429,0.782560706
2002/2003,42,7,2/12/2003,2003,6,8.9,299.0428571,0.862871928
2002/2003,43,8,2/19/2003,2003,6,6.9,298.8214286,0.870633894
2002/2003,44,9,2/26/2003,2003,7,0.4,299.0571429,0.880102041
2002/2003,45,10,3/5/2003,2003,10,2.6,299.2428571,0.88490099
2002/2003,46,11,3/12/2003,2003,8,1.8,299.0857143,0.928657799
2002/2003,47,12,3/19/2003,2003,7,7.3,299.05,0.9138322
2002/2003,48,13,3/26/2003,2003,12,10.3,298.8214286,0.920670391
2002/2003,49,14,4/2/2003,2003,3,45.84,298.4428571,0.852941176
2002/2003,50,15,4/9/2003,2003,2,21.3,298.8214286,0.842824601
2002/2003,51,16,4/16/2003,2003,7,115.2,298.2857143,0.779111645
2002/2003,52,17,4/23/2003,2003,5,8.9,299.8,0.835616438
2003/2004,1,18,4/30/2003,2003,5,4,300.0785714,0.865224626
2003/2004,2,19,5/7/2003,2003,7,5.5,299.7857143,0.879661017
2003/2004,3,20,5/14/2003,2003,7,17.16,299.6357143,0.88225539
2003/2004,4,21,5/21/2003,2003,7,24.6,299.8428571,0.875
2003/2004,5,22,5/28/2003,2003,7,8.1,300.1857143,0.840909091
2003/2004,6,23,6/4/2003,2003,10,14.2,299.9571429,0.899115044
2003/2004,7,24,6/11/2003,2003,13,22.41,299.9642857,0.968386023
2003/2004,8,25,6/18/2003,2003,10,19,300.1785714,0.871012483
2003/2004,9,26,6/25/2003,2003,14,10.3,300.4285714,1.081240768
2003/2004,10,27,7/2/2003,2003,11,45.34,299.9857143,1.018518519
2003/2004,11,28,7/9/2003,2003,20,16,300.3785714,1.107033639
2003/2004,12,29,7/16/2003,2003,25,32.7,300.4071429,1.164414414
2003/2004,13,30,7/23/2003,2003,17,26.3,300.4714286,1.009834369
2003/2004,14,31,7/30/2003,2003,18,22.1,300.5571429,1.011839709
2003/2004,15,32,8/6/2003,2003,25,29.4,300.6,1.061513557
2003/2004,16,33,8/13/2003,2003,21,32.4,300.8571429,1.017065967
2003/2004,17,34,8/20/2003,2003,31,51.06,300.6785714,1.076184937
2003/2004,18,35,8/27/2003,2003,32,65.6,300.7714286,1.062514365
2003/2004,19,36,9/3/2003,2003,26,9.3,301.3,1.009478673
2003/2004,20,37,9/10/2003,2003,35,14,301.4142857,1.055863023
2003/2004,21,38,9/17/2003,2003,28,27.59,300.8357143,1.005501665
2003/2004,22,39,9/24/2003,2003,37,10,301.3428571,1.044296197
2003/2004,23,40,10/1/2003,2003,41,5.3,301.2214286,1.043577719
2003/2004,24,41,10/8/2003,2003,34,98.6,300.7285714,0.999401437
2003/2004,25,42,10/15/2003,2003,30,12.6,301.2071429,1.005495026
2003/2004,26,43,10/22/2003,2003,39,16.18,300.9714286,1.027852409
2003/2004,27,44,10/29/2003,2003,39,49.2,300.2571429,1.014964006
2003/2004,28,45,11/5/2003,2003,39,118.2,299.8428571,1.021494834
2003/2004,29,46,11/12/2003,2003,34,143.24,299.2785714,0.991631216
2003/2004,30,47,11/19/2003,2003,30,37.2,298.7142857,0.980253199
2003/2004,31,48,11/26/2003,2003,37,8.56,299.4,1.007980569
2003/2004,32,49,12/3/2003,2003,29,54.5,298.9285714,0.972522015
2003/2004,33,50,12/10/2003,2003,26,8.58,298.8642857,0.982539575
2003/2004,34,51,12/17/2003,2003,15,8.94,299.1428571,0.94558894
2003/2004,35,52,12/24/2003,2003,22,21.4,297.7785714,0.937773817
2003/2004,36,1,1/1/2004,2004,15,32.7,297.7642857,0.942542787
2003/2004,37,2,1/8/2004,2004,20,6.4,298.0285714,0.956433548
2003/2004,38,3,1/15/2004,2004,14,1.7,298.0142857,0.918442661
2003/2004,39,4,1/22/2004,2004,10,1.6,297.7071429,0.901198234
2003/2004,40,5,1/29/2004,2004,21,3.54,298.3642857,0.897442234
2003/2004,41,6,2/5/2004,2004,14,3.5,298.4642857,0.888492799
2003/2004,42,7,2/12/2004,2004,14,5.92,298.5571429,0.893276061
2003/2004,43,8,2/19/2004,2004,9,15.5,297.8642857,0.82688353
2003/2004,44,9,2/26/2004,2004,11,19.07,297.8,0.849298202
2003/2004,45,10,3/4/2004,2004,5,4.51,297.9928571,0.823106854
2003/2004,46,11,3/11/2004,2004,6,14.9,298.5357143,0.888475836
2003/2004,47,12,3/18/2004,2004,7,13.3,298.3357143,0.840463814
2003/2004,48,13,3/25/2004,2004,11,79.4,296.7571429,0.894966118
2003/2004,49,14,4/1/2004,2004,4,8.5,298.5071429,0.811926606
2003/2004,50,15,4/8/2004,2004,3,2,298.9142857,0.839670469
2003/2004,51,16,4/15/2004,2004,2,16.8,299.05,0.856218548
2003/2004,52,17,4/22/2004,2004,6,10.56,299.4071429,0.766795367
2004/2005,1,18,4/29/2004,2004,10,31.66,298.95,0.852808989
2004/2005,2,19,5/6/2004,2004,7,51.3,298.7,0.797229219
2004/2005,3,20,5/13/2004,2004,5,64.8,298.2571429,0.837712519
2004/2005,4,21,5/20/2004,2004,3,79.1,298.9642857,0.774957699
2004/2005,5,22,5/27/2004,2004,12,5.26,300.1214286,0.916492693
2004/2005,6,23,6/3/2004,2004,13,37.57,299.7428571,0.944816054
2004/2005,7,24,6/10/2004,2004,10,10.5,300.2,0.893296854
2004/2005,8,25,6/17/2004,2004,13,26.1,300.8357143,0.902813299
2004/2005,9,26,6/24/2004,2004,13,36.4,300.5571429,1.001204819
2004/2005,10,27,7/1/2004,2004,8,36.73,300.3142857,0.93896236
2004/2005,11,28,7/8/2004,2004,21,26.86,300.5142857,1.045279383
2004/2005,12,29,7/15/2004,2004,18,21.86,300.4285714,0.983728814
2004/2005,13,30,7/22/2004,2004,8,34.6,300.3071429,0.870674986
2004/2005,14,31,7/29/2004,2004,7,17,300.8928571,0.880718008
2004/2005,15,32,8/5/2004,2004,20,16.8,301.2,0.941517082
2004/2005,16,33,8/12/2004,2004,14,46.4,300.7785714,0.89961941
2004/2005,17,34,8/19/2004,2004,14,14.87,301.0071429,0.896024465
